username,department,role,account_status,finding_type,severity,soc2_control,nist_control,finding_detail,access_key_age_days,password_last_rotated_days,last_login_days,mfa_enabled,access_level
Olivia.brown,Engineering,Backend Developer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,140,72,22,False,PowerUser
Olivia.brown,Engineering,Backend Developer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,140,72,22,False,PowerUser
Olivia.brown,Engineering,Backend Developer,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,140,72,22,False,PowerUser
Ella.smith,Engineering,Backend Developer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,111,69,13,False,ReadOnly
Ella.smith,Engineering,Backend Developer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,111,69,13,False,ReadOnly
Jackson.garcia,Engineering,Junior Developer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,142,217,29,False,Limited
Jackson.garcia,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,142,217,29,False,Limited
Jackson.garcia,Engineering,Junior Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,142,217,29,False,Limited
James.brown,Engineering,Frontend Developer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,172,36,27,False,SecurityAudit
James.brown,Engineering,Frontend Developer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,172,36,27,False,SecurityAudit
Aria.gonzalez,Engineering,EHR Integration Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,235,147,26,True,PowerUser
Aria.gonzalez,Engineering,EHR Integration Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,235,147,26,True,PowerUser
Sophia.lopez,Engineering,Backend Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,232,172,18,True,SecurityAudit
Sophia.lopez,Engineering,Backend Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,232,172,18,True,SecurityAudit
Sophia.moore,Engineering,EHR Integration Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,36,165,9,True,ReadOnly
Ethan.johnson,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,285,66,8,True,ReadOnly
Olivia.davis,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,234,46,21,True,Support
Olivia.taylor,Engineering,Junior Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,204,102,22,True,VendorTemporaryAccess
Chloe.wilson,Engineering,Backend Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,78,170,24,True,PowerUser
Scarlett.brown,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,283,230,29,True,Support
Scarlett.brown,Engineering,Junior Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,283,230,29,True,Support
Ava.rodriguez,Engineering,EHR Integration Engineer,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,222,50,15,False,Developer
Ava.rodriguez,Engineering,EHR Integration Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,222,50,15,False,Developer
Elijah.martin,Engineering,Backend Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,152,225,9,True,ReadOnly
Ella.hernandez,Engineering,Frontend Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,271,245,29,True,VendorTemporaryAccess
Olivia.thomas,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,272,206,25,True,Developer
Olivia.thomas,Engineering,Junior Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,272,206,25,True,Developer
Henry.martinez,Engineering,Junior Developer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,276,203,23,True,Limited
Henry.martinez,Engineering,Junior Developer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,276,203,23,True,Limited
Isabella.davis,Engineering,EHR Integration Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,264,125,26,True,PowerUser
Isabella.davis,Engineering,EHR Integration Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,264,125,26,True,PowerUser
Evelyn.miller,Security & Compliance,HIPAA Compliance Auditor,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,121,81,8,False,Developer
Evelyn.miller,Security & Compliance,HIPAA Compliance Auditor,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,121,81,8,False,Developer
Mason.brown,Security & Compliance,SOC Analyst,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,242,216,16,False,PowerUser
Mason.brown,Security & Compliance,SOC Analyst,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,242,216,16,False,PowerUser
Mason.brown,Security & Compliance,SOC Analyst,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,242,216,16,False,PowerUser
Mason.brown,Security & Compliance,SOC Analyst,ACTIVE,PRIVILEGED_NO_MFA,CRITICAL,CC6.3,AC-6(5),User has elevated privileges (Admin/PowerUser) but MFA is not enabled,242,216,16,False,PowerUser
Scarlett.brown,Security & Compliance,HIPAA Compliance Auditor,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,239,231,28,True,Administrator
